Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR
I1,13/08/2022,17:30,Milan,Udinese,4,2,H
I1,13/08/2022,17:30,Sampdoria,Atalanta,0,2,A
I1,13/08/2022,19:45,Lecce,Inter,1,2,A
I1,13/08/2022,19:45,Monza,Torino,1,2,A
I1,14/08/2022,17:30,Fiorentina,Cremonese,3,2,H
I1,14/08/2022,17:30,Lazio,Bologna,2,1,H
I1,14/08/2022,19:45,Salernitana,Roma,0,1,A
I1,14/08/2022,19:45,Spezia,Empoli,1,0,H
I1,15/08/2022,17:30,Verona,Napoli,2,5,A
I1,15/08/2022,19:45,Juventus,Sassuolo,3,0,H
I1,20/08/2022,17:30,Torino,Lazio,0,0,D
I1,20/08/2022,17:30,Udinese,Salernitana,0,0,D
I1,20/08/2022,19:45,Inter,Spezia,3,0,H
I1,20/08/2022,19:45,Sassuolo,Lecce,1,0,H
I1,21/08/2022,17:30,Empoli,Fiorentina,0,0,D
I1,21/08/2022,17:30,Napoli,Monza,4,0,H
I1,21/08/2022,19:45,Atalanta,Milan,1,1,D
I1,21/08/2022,19:45,Bologna,Verona,1,1,D
I1,22/08/2022,17:30,Roma,Cremonese,1,0,H
I1,22/08/2022,19:45,Sampdoria,Juventus,0,0,D
I1,26/08/2022,17:30,Monza,Udinese,1,2,A
I1,26/08/2022,19:45,Lazio,Inter,3,1,H
I1,27/08/2022,17:30,Cremonese,Torino,1,2,A
I1,27/08/2022,17:30,Juventus,Roma,1,1,D
I1,27/08/2022,19:45,Milan,Bologna,2,0,H
I1,27/08/2022,19:45,Spezia,Sassuolo,2,2,D
I1,28/08/2022,17:30,Salernitana,Sampdoria,4,0,H
I1,28/08/2022,17:30,Verona,Atalanta,0,1,A
I1,28/08/2022,19:45,Fiorentina,Napoli,0,0,D
I1,28/08/2022,19:45,Lecce,Empoli,1,1,D
I1,30/08/2022,17:30,Sassuolo,Milan,0,0,D
I1,30/08/2022,19:45,Inter,Cremonese,3,1,H
I1,30/08/2022,19:45,Roma,Monza,3,0,H
I1,31/08/2022,17:30,Empoli,Verona,1,1,D
I1,31/08/2022,17:30,Sampdoria,Lazio,1,1,D
I1,31/08/2022,17:30,Udinese,Fiorentina,1,0,H
I1,31/08/2022,19:45,Juventus,Spezia,2,0,H
I1,31/08/2022,19:45,Napoli,Lecce,1,1,D
I1,01/09/2022,19:45,Atalanta,Torino,3,1,H
I1,01/09/2022,19:45,Bologna,Salernitana,1,1,D
I1,03/09/2022,14:00,Fiorentina,Juventus,1,1,D
I1,03/09/2022,17:00,Milan,Inter,3,2,H
I1,03/09/2022,19:45,Lazio,Napoli,1,2,A
I1,04/09/2022,11:30,Cremonese,Sassuolo,0,0,D
I1,04/09/2022,14:00,Spezia,Bologna,2,2,D
I1,04/09/2022,17:00,Verona,Sampdoria,2,1,H
I1,04/09/2022,19:45,Udinese,Roma,4,0,H
I1,05/09/2022,17:30,Monza,Atalanta,0,2,A
I1,05/09/2022,17:30,Salernitana,Empoli,2,2,D
I1,05/09/2022,19:45,Torino,Lecce,1,0,H
I1,10/09/2022,14:00,Napoli,Spezia,1,0,H
I1,10/09/2022,17:00,Inter,Torino,1,0,H
I1,10/09/2022,19:45,Sampdoria,Milan,1,2,A
I1,11/09/2022,11:30,Atalanta,Cremonese,1,1,D
I1,11/09/2022,14:00,Bologna,Fiorentina,2,1,H
I1,11/09/2022,14:00,Lecce,Monza,1,1,D
I1,11/09/2022,14:00,Sassuolo,Udinese,1,3,A
I1,11/09/2022,17:00,Lazio,Verona,2,0,H
I1,11/09/2022,19:45,Juventus,Salernitana,2,2,D
I1,12/09/2022,19:45,Empoli,Roma,1,2,A
I1,16/09/2022,19:45,Salernitana,Lecce,1,2,A
I1,17/09/2022,14:00,Bologna,Empoli,0,1,A
I1,17/09/2022,17:00,Spezia,Sampdoria,2,1,H
I1,17/09/2022,19:45,Torino,Sassuolo,0,1,A
I1,18/09/2022,11:30,Udinese,Inter,3,1,H
I1,18/09/2022,14:00,Cremonese,Lazio,0,4,A
I1,18/09/2022,14:00,Fiorentina,Verona,2,0,H
I1,18/09/2022,14:00,Monza,Juventus,1,0,H
I1,18/09/2022,17:00,Roma,Atalanta,0,1,A
I1,18/09/2022,19:45,Milan,Napoli,1,2,A
I1,01/10/2022,14:00,Napoli,Torino,3,1,H
I1,01/10/2022,17:00,Inter,Roma,1,2,A
I1,01/10/2022,19:45,Empoli,Milan,1,3,A
I1,02/10/2022,11:30,Lazio,Spezia,4,0,H
I1,02/10/2022,14:00,Lecce,Cremonese,1,1,D
